Chromosome	Source	Feature	Start	End	Attributes
NC_003279.8	GetRepeats	repeat_copy	67797	67846	Parent=Repeat_16;Copy=2
NC_003279.8	GetRepeats	repeat_region	196926	206326	ID=Repeat_17
NC_003279.8	GetRepeats	repeat_copy	196926	197150	Parent=Repeat_17;Copy=1
NC_003279.8	GetRepeats	repeat_copy	206102	206326	Parent=Repeat_17;Copy=2
NC_003279.8	GetRepeats	repeat_region	214926	221113	ID=Repeat_18
NC_003279.8	GetRepeats	repeat_copy	214926	214975	Parent=Repeat_18;Copy=1
NC_003279.8	GetRepeats	repeat_copy	221064	221113	Parent=Repeat_18;Copy=2
NC_003279.8	GetRepeats	repeat_region	215026	221287	ID=Repeat_19
NC_003279.8	GetRepeats	repeat_copy	215026	215150	Parent=Repeat_19;Copy=1
NC_003279.8	GetRepeats	repeat_copy	221163	221287	Parent=Repeat_19;Copy=2
NC_003279.8	GetRepeats	repeat_region	226776	238643	ID=Repeat_20
NC_003279.8	GetRepeats	repeat_copy	226776	226875	Parent=Repeat_20;Copy=1
NC_003279.8	GetRepeats	repeat_copy	238544	238643	Parent=Repeat_20;Copy=2
NC_003279.8	GetRepeats	repeat_region	226951	238917	ID=Repeat_21
NC_003279.8	GetRepeats	repeat_copy	226951	227150	Parent=Repeat_21;Copy=1
NC_003279.8	GetRepeats	repeat_copy	238718	238917	Parent=Repeat_21;Copy=2
NC_003279.8	GetRepeats	repeat_region	227151	239099	ID=Repeat_22
NC_003279.8	GetRepeats	repeat_copy	227151	227325	Parent=Repeat_22;Copy=1
NC_003279.8	GetRepeats	repeat_copy	238925	239099	Parent=Repeat_22;Copy=2
NC_003279.8	GetRepeats	repeat_region	227351	239243	ID=Repeat_23
NC_003279.8	GetRepeats	repeat_copy	227351	227475	Parent=Repeat_23;Copy=1
NC_003279.8	GetRepeats	repeat_copy	239119	239243	Parent=Repeat_23;Copy=2
NC_003279.8	GetRepeats	repeat_region	236776	236999	ID=Repeat_24
NC_003279.8	GetRepeats	repeat_copy	236776	236825	Parent=Repeat_24;Copy=1
NC_003279.8	GetRepeats	repeat_copy	236950	236999	Parent=Repeat_24;Copy=2
NC_003279.8	GetRepeats	repeat_region	280526	280726	ID=Repeat_25
NC_003279.8	GetRepeats	repeat_copy	280526	280575	Parent=Repeat_25;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280677	280726	Parent=Repeat_25;Copy=2
NC_003279.8	GetRepeats	repeat_region	280526	280976	ID=Repeat_26
NC_003279.8	GetRepeats	repeat_copy	280526	280675	Parent=Repeat_26;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280827	280976	Parent=Repeat_26;Copy=2
NC_003279.8	GetRepeats	repeat_region	280526	281241	ID=Repeat_27
NC_003279.8	GetRepeats	repeat_copy	280526	280675	Parent=Repeat_27;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281092	281241	Parent=Repeat_27;Copy=2
NC_003279.8	GetRepeats	repeat_region	280526	281330	ID=Repeat_28
NC_003279.8	GetRepeats	repeat_copy	280526	280575	Parent=Repeat_28;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281281	281330	Parent=Repeat_28;Copy=2
NC_003279.8	GetRepeats	repeat_region	280526	281405	ID=Repeat_29
NC_003279.8	GetRepeats	repeat_copy	280526	280575	Parent=Repeat_29;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281356	281405	Parent=Repeat_29;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	280663	ID=Repeat_30
NC_003279.8	GetRepeats	repeat_copy	280551	280625	Parent=Repeat_30;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280589	280663	Parent=Repeat_30;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	280676	ID=Repeat_31
NC_003279.8	GetRepeats	repeat_copy	280551	280600	Parent=Repeat_31;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280627	280676	Parent=Repeat_31;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281014	ID=Repeat_32
NC_003279.8	GetRepeats	repeat_copy	280551	280675	Parent=Repeat_32;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280890	281014	Parent=Repeat_32;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281052	ID=Repeat_33
NC_003279.8	GetRepeats	repeat_copy	280551	280675	Parent=Repeat_33;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280928	281052	Parent=Repeat_33;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281140	ID=Repeat_34
NC_003279.8	GetRepeats	repeat_copy	280551	280725	Parent=Repeat_34;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280966	281140	Parent=Repeat_34;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281078	ID=Repeat_35
NC_003279.8	GetRepeats	repeat_copy	280551	280625	Parent=Repeat_35;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281004	281078	Parent=Repeat_35;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281091	ID=Repeat_36
NC_003279.8	GetRepeats	repeat_copy	280551	280600	Parent=Repeat_36;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281042	281091	Parent=Repeat_36;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281329	ID=Repeat_37
NC_003279.8	GetRepeats	repeat_copy	280551	280725	Parent=Repeat_37;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281155	281329	Parent=Repeat_37;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281267	ID=Repeat_38
NC_003279.8	GetRepeats	repeat_copy	280551	280625	Parent=Repeat_38;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281193	281267	Parent=Repeat_38;Copy=2
NC_003279.8	GetRepeats	repeat_region	280551	281280	ID=Repeat_39
NC_003279.8	GetRepeats	repeat_copy	280551	280600	Parent=Repeat_39;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281231	281280	Parent=Repeat_39;Copy=2
NC_003279.8	GetRepeats	repeat_region	280576	280738	ID=Repeat_40
NC_003279.8	GetRepeats	repeat_copy	280576	280625	Parent=Repeat_40;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280689	280738	Parent=Repeat_40;Copy=2
NC_003279.8	GetRepeats	repeat_region	280576	280938	ID=Repeat_41
NC_003279.8	GetRepeats	repeat_copy	280576	280675	Parent=Repeat_41;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280839	280938	Parent=Repeat_41;Copy=2
NC_003279.8	GetRepeats	repeat_region	280576	281203	ID=Repeat_42
NC_003279.8	GetRepeats	repeat_copy	280576	280675	Parent=Repeat_42;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281104	281203	Parent=Repeat_42;Copy=2
NC_003279.8	GetRepeats	repeat_region	280576	281417	ID=Repeat_43
NC_003279.8	GetRepeats	repeat_copy	280576	280625	Parent=Repeat_43;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281368	281417	Parent=Repeat_43;Copy=2
NC_003279.8	GetRepeats	repeat_region	280626	280900	ID=Repeat_44
NC_003279.8	GetRepeats	repeat_copy	280626	280675	Parent=Repeat_44;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280851	280900	Parent=Repeat_44;Copy=2
NC_003279.8	GetRepeats	repeat_region	280626	281165	ID=Repeat_45
NC_003279.8	GetRepeats	repeat_copy	280626	280675	Parent=Repeat_45;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281116	281165	Parent=Repeat_45;Copy=2
NC_003279.8	GetRepeats	repeat_region	280651	280875	ID=Repeat_46
NC_003279.8	GetRepeats	repeat_copy	280651	280725	Parent=Repeat_46;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280801	280875	Parent=Repeat_46;Copy=2
NC_003279.8	GetRepeats	repeat_region	280676	281404	ID=Repeat_47
NC_003279.8	GetRepeats	repeat_copy	280676	280725	Parent=Repeat_47;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281355	281404	Parent=Repeat_47;Copy=2
NC_003279.8	GetRepeats	repeat_region	280751	281391	ID=Repeat_48
NC_003279.8	GetRepeats	repeat_copy	280751	280825	Parent=Repeat_48;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281317	281391	Parent=Repeat_48;Copy=2
NC_003279.8	GetRepeats	repeat_region	280776	280862	ID=Repeat_49
NC_003279.8	GetRepeats	repeat_copy	280776	280825	Parent=Repeat_49;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280813	280862	Parent=Repeat_49;Copy=2
NC_003279.8	GetRepeats	repeat_region	280776	281127	ID=Repeat_50
NC_003279.8	GetRepeats	repeat_copy	280776	280825	Parent=Repeat_50;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281078	281127	Parent=Repeat_50;Copy=2
NC_003279.8	GetRepeats	repeat_region	280776	281316	ID=Repeat_51
NC_003279.8	GetRepeats	repeat_copy	280776	280825	Parent=Repeat_51;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281267	281316	Parent=Repeat_51;Copy=2
NC_003279.8	GetRepeats	repeat_region	280801	281265	ID=Repeat_52
NC_003279.8	GetRepeats	repeat_copy	280801	281000	Parent=Repeat_52;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281066	281265	Parent=Repeat_52;Copy=2
NC_003279.8	GetRepeats	repeat_region	280801	281329	ID=Repeat_53
NC_003279.8	GetRepeats	repeat_copy	280801	280875	Parent=Repeat_53;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281255	281329	Parent=Repeat_53;Copy=2
NC_003279.8	GetRepeats	repeat_region	280826	281404	ID=Repeat_54
NC_003279.8	GetRepeats	repeat_copy	280826	280875	Parent=Repeat_54;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281355	281404	Parent=Repeat_54;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281088	ID=Repeat_55
NC_003279.8	GetRepeats	repeat_copy	280851	281050	Parent=Repeat_55;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280889	281088	Parent=Repeat_55;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281076	ID=Repeat_56
NC_003279.8	GetRepeats	repeat_copy	280851	281000	Parent=Repeat_56;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280927	281076	Parent=Repeat_56;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281089	ID=Repeat_57
NC_003279.8	GetRepeats	repeat_copy	280851	280975	Parent=Repeat_57;Copy=1
NC_003279.8	GetRepeats	repeat_copy	280965	281089	Parent=Repeat_57;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281077	ID=Repeat_58
NC_003279.8	GetRepeats	repeat_copy	280851	280925	Parent=Repeat_58;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281003	281077	Parent=Repeat_58;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281090	ID=Repeat_59
NC_003279.8	GetRepeats	repeat_copy	280851	280900	Parent=Repeat_59;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281041	281090	Parent=Repeat_59;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281278	ID=Repeat_60
NC_003279.8	GetRepeats	repeat_copy	280851	280975	Parent=Repeat_60;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281154	281278	Parent=Repeat_60;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281266	ID=Repeat_61
NC_003279.8	GetRepeats	repeat_copy	280851	280925	Parent=Repeat_61;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281192	281266	Parent=Repeat_61;Copy=2
NC_003279.8	GetRepeats	repeat_region	280851	281279	ID=Repeat_62
NC_003279.8	GetRepeats	repeat_copy	280851	280900	Parent=Repeat_62;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281230	281279	Parent=Repeat_62;Copy=2
NC_003279.8	GetRepeats	repeat_region	280876	281277	ID=Repeat_63
NC_003279.8	GetRepeats	repeat_copy	280876	281050	Parent=Repeat_63;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281103	281277	Parent=Repeat_63;Copy=2
NC_003279.8	GetRepeats	repeat_region	280876	281416	ID=Repeat_64
NC_003279.8	GetRepeats	repeat_copy	280876	280925	Parent=Repeat_64;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281367	281416	Parent=Repeat_64;Copy=2
NC_003279.8	GetRepeats	repeat_region	280926	281314	ID=Repeat_65
NC_003279.8	GetRepeats	repeat_copy	280926	281125	Parent=Repeat_65;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281115	281314	Parent=Repeat_65;Copy=2
NC_003279.8	GetRepeats	repeat_region	280951	281226	ID=Repeat_66
NC_003279.8	GetRepeats	repeat_copy	280951	281075	Parent=Repeat_66;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281102	281226	Parent=Repeat_66;Copy=2
NC_003279.8	GetRepeats	repeat_region	280951	281415	ID=Repeat_67
NC_003279.8	GetRepeats	repeat_copy	280951	281000	Parent=Repeat_67;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281366	281415	Parent=Repeat_67;Copy=2
NC_003279.8	GetRepeats	repeat_region	281001	281188	ID=Repeat_68
NC_003279.8	GetRepeats	repeat_copy	281001	281075	Parent=Repeat_68;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281114	281188	Parent=Repeat_68;Copy=2
NC_003279.8	GetRepeats	repeat_region	281026	281150	ID=Repeat_69
NC_003279.8	GetRepeats	repeat_copy	281026	281075	Parent=Repeat_69;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281101	281150	Parent=Repeat_69;Copy=2
NC_003279.8	GetRepeats	repeat_region	281026	281414	ID=Repeat_70
NC_003279.8	GetRepeats	repeat_copy	281026	281075	Parent=Repeat_70;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281365	281414	Parent=Repeat_70;Copy=2
NC_003279.8	GetRepeats	repeat_region	281076	281414	ID=Repeat_71
NC_003279.8	GetRepeats	repeat_copy	281076	281150	Parent=Repeat_71;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281340	281414	Parent=Repeat_71;Copy=2
NC_003279.8	GetRepeats	repeat_region	281101	281263	ID=Repeat_72
NC_003279.8	GetRepeats	repeat_copy	281101	281225	Parent=Repeat_72;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281139	281263	Parent=Repeat_72;Copy=2
NC_003279.8	GetRepeats	repeat_region	281101	281276	ID=Repeat_73
NC_003279.8	GetRepeats	repeat_copy	281101	281200	Parent=Repeat_73;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281177	281276	Parent=Repeat_73;Copy=2
NC_003279.8	GetRepeats	repeat_region	281101	281264	ID=Repeat_74
NC_003279.8	GetRepeats	repeat_copy	281101	281150	Parent=Repeat_74;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281215	281264	Parent=Repeat_74;Copy=2
NC_003279.8	GetRepeats	repeat_region	281176	281413	ID=Repeat_75
NC_003279.8	GetRepeats	repeat_copy	281176	281225	Parent=Repeat_75;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281364	281413	Parent=Repeat_75;Copy=2
NC_003279.8	GetRepeats	repeat_region	281276	281400	ID=Repeat_76
NC_003279.8	GetRepeats	repeat_copy	281276	281325	Parent=Repeat_76;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281351	281400	Parent=Repeat_76;Copy=2
NC_003279.8	GetRepeats	repeat_region	281576	281715	ID=Repeat_77
NC_003279.8	GetRepeats	repeat_copy	281576	281625	Parent=Repeat_77;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281666	281715	Parent=Repeat_77;Copy=2
NC_003279.8	GetRepeats	repeat_region	281576	282105	ID=Repeat_78
NC_003279.8	GetRepeats	repeat_copy	281576	281625	Parent=Repeat_78;Copy=1
NC_003279.8	GetRepeats	repeat_copy	282056	282105	Parent=Repeat_78;Copy=2
NC_003279.8	GetRepeats	repeat_region	281701	281885	ID=Repeat_79
NC_003279.8	GetRepeats	repeat_copy	281701	281750	Parent=Repeat_79;Copy=1
NC_003279.8	GetRepeats	repeat_copy	281836	281885	Parent=Repeat_79;Copy=2
NC_003279.8	GetRepeats	repeat_region	326326	326563	ID=Repeat_80
NC_003279.8	GetRepeats	repeat_copy	326326	326400	Parent=Repeat_80;Copy=1
NC_003279.8	GetRepeats	repeat_copy	326489	326563	Parent=Repeat_80;Copy=2
NC_003279.8	GetRepeats	repeat_region	334701	335015	ID=Repeat_81
NC_003279.8	GetRepeats	repeat_copy	334701	334775	Parent=Repeat_81;Copy=1
NC_003279.8	GetRepeats	repeat_copy	334941	335015	Parent=Repeat_81;Copy=2
NC_003279.8	GetRepeats	repeat_region	334701	335070	ID=Repeat_82
NC_003279.8	GetRepeats	repeat_copy	334701	334750	Parent=Repeat_82;Copy=1
NC_003279.8	GetRepeats	repeat_copy	335021	335070	Parent=Repeat_82;Copy=2
NC_003279.8	GetRepeats	repeat_region	334701	335190	ID=Repeat_83
NC_003279.8	GetRepeats	repeat_copy	334701	334750	Parent=Repeat_83;Copy=1
NC_003279.8	GetRepeats	repeat_copy	335141	335190	Parent=Repeat_83;Copy=2
NC_003279.8	GetRepeats	repeat_region	334926	335055	ID=Repeat_84
NC_003279.8	GetRepeats	repeat_copy	334926	334975	Parent=Repeat_84;Copy=1
NC_003279.8	GetRepeats	repeat_copy	335006	335055	Parent=Repeat_84;Copy=2
NC_003279.8	GetRepeats	repeat_region	334926	335175	ID=Repeat_85
NC_003279.8	GetRepeats	repeat_copy	334926	334975	Parent=Repeat_85;Copy=1
NC_003279.8	GetRepeats	repeat_copy	335126	335175	Parent=Repeat_85;Copy=2
NC_003279.8	GetRepeats	repeat_region	335001	335170	ID=Repeat_86
NC_003279.8	GetRepeats	repeat_copy	335001	335050	Parent=Repeat_86;Copy=1
NC_003279.8	GetRepeats	repeat_copy	335121	335170	Parent=Repeat_86;Copy=2
NC_003279.8	GetRepeats	repeat_region	335351	335537	ID=Repeat_87
NC_003279.8	GetRepeats	repeat_copy	335351	335425	Parent=Repeat_87;Copy=1
NC_003279.8	GetRepeats	repeat_copy	335463	335537	Parent=Repeat_87;Copy=2
NC_003279.8	GetRepeats	repeat_region	338576	338859	ID=Repeat_88
NC_003279.8	GetRepeats	repeat_copy	338576	338675	Parent=Repeat_88;Copy=1
NC_003279.8	GetRepeats	repeat_copy	338760	338859	Parent=Repeat_88;Copy=2
NC_003279.8	GetRepeats	repeat_region	338576	340147	ID=Repeat_89
NC_003279.8	GetRepeats	repeat_copy	338576	338675	Parent=Repeat_89;Copy=1
NC_003279.8	GetRepeats	repeat_copy	340048	340147	Parent=Repeat_89;Copy=2
NC_003279.8	GetRepeats	repeat_region	338626	339227	ID=Repeat_90
NC_003279.8	GetRepeats	repeat_copy	338626	338675	Parent=Repeat_90;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339178	339227	Parent=Repeat_90;Copy=2
NC_003279.8	GetRepeats	repeat_region	338626	339595	ID=Repeat_91
NC_003279.8	GetRepeats	repeat_copy	338626	338675	Parent=Repeat_91;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339546	339595	Parent=Repeat_91;Copy=2
NC_003279.8	GetRepeats	repeat_region	338626	339963	ID=Repeat_92
NC_003279.8	GetRepeats	repeat_copy	338626	338675	Parent=Repeat_92;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339914	339963	Parent=Repeat_92;Copy=2
NC_003279.8	GetRepeats	repeat_region	338626	340883	ID=Repeat_93
NC_003279.8	GetRepeats	repeat_copy	338626	338675	Parent=Repeat_93;Copy=1
NC_003279.8	GetRepeats	repeat_copy	340834	340883	Parent=Repeat_93;Copy=2
NC_003279.8	GetRepeats	repeat_region	338626	341067	ID=Repeat_94
NC_003279.8	GetRepeats	repeat_copy	338626	338675	Parent=Repeat_94;Copy=1
NC_003279.8	GetRepeats	repeat_copy	341018	341067	Parent=Repeat_94;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	338984	ID=Repeat_95
NC_003279.8	GetRepeats	repeat_copy	338726	338800	Parent=Repeat_95;Copy=1
NC_003279.8	GetRepeats	repeat_copy	338910	338984	Parent=Repeat_95;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	339168	ID=Repeat_96
NC_003279.8	GetRepeats	repeat_copy	338726	338800	Parent=Repeat_96;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339094	339168	Parent=Repeat_96;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	339352	ID=Repeat_97
NC_003279.8	GetRepeats	repeat_copy	338726	338800	Parent=Repeat_97;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339278	339352	Parent=Repeat_97;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	339536	ID=Repeat_98
NC_003279.8	GetRepeats	repeat_copy	338726	338800	Parent=Repeat_98;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339462	339536	Parent=Repeat_98;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	339720	ID=Repeat_99
NC_003279.8	GetRepeats	repeat_copy	338726	338800	Parent=Repeat_99;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339646	339720	Parent=Repeat_99;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	340163	ID=Repeat_100
NC_003279.8	GetRepeats	repeat_copy	338726	338875	Parent=Repeat_100;Copy=1
NC_003279.8	GetRepeats	repeat_copy	340014	340163	Parent=Repeat_100;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	340456	ID=Repeat_101
NC_003279.8	GetRepeats	repeat_copy	338726	338800	Parent=Repeat_101;Copy=1
NC_003279.8	GetRepeats	repeat_copy	340382	340456	Parent=Repeat_101;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	340640	ID=Repeat_102
NC_003279.8	GetRepeats	repeat_copy	338726	338800	Parent=Repeat_102;Copy=1
NC_003279.8	GetRepeats	repeat_copy	340566	340640	Parent=Repeat_102;Copy=2
NC_003279.8	GetRepeats	repeat_region	338726	340983	ID=Repeat_103
NC_003279.8	GetRepeats	repeat_copy	338726	338775	Parent=Repeat_103;Copy=1
NC_003279.8	GetRepeats	repeat_copy	340934	340983	Parent=Repeat_103;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	339059	ID=Repeat_104
NC_003279.8	GetRepeats	repeat_copy	338826	338875	Parent=Repeat_104;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339010	339059	Parent=Repeat_104;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	339243	ID=Repeat_105
NC_003279.8	GetRepeats	repeat_copy	338826	338875	Parent=Repeat_105;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339194	339243	Parent=Repeat_105;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	339427	ID=Repeat_106
NC_003279.8	GetRepeats	repeat_copy	338826	338875	Parent=Repeat_106;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339378	339427	Parent=Repeat_106;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	339611	ID=Repeat_107
NC_003279.8	GetRepeats	repeat_copy	338826	338875	Parent=Repeat_107;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339562	339611	Parent=Repeat_107;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	339795	ID=Repeat_108
NC_003279.8	GetRepeats	repeat_copy	338826	338875	Parent=Repeat_108;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339746	339795	Parent=Repeat_108;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	339979	ID=Repeat_109
NC_003279.8	GetRepeats	repeat_copy	338826	338875	Parent=Repeat_109;Copy=1
NC_003279.8	GetRepeats	repeat_copy	339930	339979	Parent=Repeat_109;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	340531	ID=Repeat_110
NC_003279.8	GetRepeats	repeat_copy	338826	338875	Parent=Repeat_110;Copy=1
NC_003279.8	GetRepeats	repeat_copy	340482	340531	Parent=Repeat_110;Copy=2
NC_003279.8	GetRepeats	repeat_region	338826	340715	ID=Repeat_111
